id,area,sheet_no,strat_id,srtm_mean,srtm_stdev,srtm_min,srtm_max,10m_mean,10m_stdev,10m_min,10m_max,slope_mean,slope_stde,slope_min,slope_max
21,287131.43654,164,19,499.888382687927000,18.231336183187200,463.000000000000000,548.000000000000000,497.568571550404000,18.203909079988900,452.715759277343000,549.984619140625000,10.155628070939500,5.483826974718020,0.101533405482769,29.369413375854400
22,733140.14480,164,19,548.719251336898000,12.047979104771900,522.000000000000000,578.000000000000000,547.107674970332000,13.687852969744700,508.317138671875000,577.700561523437000,10.418870693614100,6.368057886890050,0.059686299413443,35.175819396972600
23,214967.14185,164,19,497.444444444444000,13.081658781023500,473.000000000000000,531.000000000000000,490.940066755427000,12.273167252792600,458.003875732421000,518.564208984375000,10.256916919128800,5.725079634949140,0.153659865260124,30.196866989135700
24,75171.46299,164,19,526.550847457627000,10.036878994975500,506.000000000000000,543.000000000000000,527.111060963772000,9.020512527205320,503.223205566406000,545.012329101562000,8.566622413844060,2.251510092290100,2.074769973754880,15.496319770812900
25,94153.53345,164,19,499.307142857142000,7.248543133004060,486.000000000000000,517.000000000000000,497.108487292727000,5.623935207371200,482.591613769531000,508.465881347656000,7.457922500297340,3.938862770467120,0.116064794361591,21.736469268798800
26,29237.22634,164,19,475.069767441860000,3.230633524430230,469.000000000000000,481.000000000000000,474.583577090746000,2.843746741089760,463.691986083984000,479.869567871093000,7.155084553238460,4.149741479817420,0.392076432704926,25.902994155883700
27,48322.11875,164,19,509.662162162162000,3.632723001570010,500.000000000000000,514.000000000000000,509.855556014113000,3.391567342631950,498.938262939453000,514.671386718750000,4.581361396006800,2.214809372185290,0.159699112176895,9.668434143066400
28,14927.75204,164,19,530.041666666666000,3.433646830347510,525.000000000000000,537.000000000000000,528.633968868771000,1.551883689059280,523.924560546875000,530.920471191406000,3.634525265645330,2.335310164221930,0.269225358963013,13.064406394958400
29,26402.79994,164,19,542.424999999999000,3.693829313869280,533.000000000000000,547.000000000000000,530.330944220829000,4.074612205658860,519.913696289062000,536.455200195312000,8.381480395057350,3.212279243214650,0.139054253697395,17.749019622802700
30,725825.82317,164,19,544.360787824530000,32.535107441195400,486.000000000000000,595.000000000000000,536.787881002431000,34.880758400806000,473.465698242187000,593.491577148437000,12.339998146700200,6.735177380927270,0.099163390696049,36.727527618408200
31,411550.65658,164,19,530.567140600315000,7.889180757497270,504.000000000000000,547.000000000000000,531.426582440733000,7.730059926682360,505.719604492187000,546.986511230468000,7.094469402891260,3.973689906927630,0.126463979482651,24.400257110595700
32,46741.22878,164,19,513.189189189189000,3.323445280394280,507.000000000000000,520.000000000000000,512.985253932389000,3.595957147401480,500.379882812500000,521.877807617187000,7.171478625969280,3.317877845307190,0.082204215228558,24.786136627197200
33,46122.92151,164,19,500.652173913043000,1.751405952466170,495.000000000000000,504.000000000000000,502.668013531228000,2.362076469508510,493.968322753906000,505.970184326171000,4.128198916181590,2.877914461467330,0.037184085696936,14.800582885742100
34,38410.34085,164,19,519.103448275862000,2.916597303971100,515.000000000000000,527.000000000000000,517.234548814027000,3.977118569719790,507.252288818359000,525.755187988281000,5.628028767002530,3.706684249811510,0.785445451736450,19.797441482543900
35,50263.01933,164,19,516.379746835443000,3.789738969229280,509.000000000000000,524.000000000000000,514.448393146982000,3.005835606050410,503.019714355468000,522.236450195312000,4.362218459604280,3.216025723522230,0.294489920139313,23.643051147460900
36,92727.60674,164,19,495.828571428571000,5.482365049010530,488.000000000000000,506.000000000000000,497.550529882392000,4.552313717101990,489.600585937500000,507.513031005859000,3.057687912152350,1.777769950830800,0.033134032040834,13.600025177001900
37,262121.71225,164,19,496.643216080401000,6.705457292088500,478.000000000000000,512.000000000000000,488.205245035093000,6.204895494506280,472.354888916015000,503.048065185546000,4.708944733514160,1.924687555906960,0.373548984527588,13.637435913085900
38,48116.55606,164,19,531.146666666666000,9.044620254911510,512.000000000000000,549.000000000000000,525.713153139750000,12.106986287696100,493.754486083984000,556.968566894531000,26.745282270510900,8.482360812423160,5.980210781097410,44.876041412353500
